AngularVelocity,KE,PE,TE
-0.0308, 18.9867, 162.0889, 181.0756
-0.0112, 2.5282, 170.9773, 173.5055
0.0087, 1.5237, 164.0573, 165.5810
0.0282, 15.9173, 142.6298, 158.5471
0.0463, 42.9265, 110.5866, 153.5131
0.0622, 77.4813, 73.7955, 151.2768
0.0752, 113.0502, 39.1071, 152.1573
0.0845, 142.7982, 13.0812, 155.8794
0.0897, 160.9181, 0.6573, 161.5754
0.0905, 163.8523, 4.0900, 167.9423
0.0869, 151.0755, 22.4579, 173.5334
0.0791, 125.1947, 51.9022, 177.0969
0.0676, 91.3337, 86.5134, 177.8471
0.0529, 55.9981, 119.5940, 175.5921
0.0359, 25.7469, 144.9623, 170.7092
0.0173, 5.9849, 158.0301, 164.0150
-0.0020, 0.0774, 156.5166, 156.5940
-0.0210, 8.8612, 140.7624, 149.6235
-0.0391, 30.5554, 113.6506, 144.2060
-0.0553, 61.0557, 80.1464, 141.2021
-0.0688, 94.6006, 46.4673, 141.0680
-0.0790, 124.7717, 18.9582, 143.7299
-0.0854, 145.7079, 2.8406, 148.5485
-0.0876, 153.3060, 1.1133, 154.4193
-0.0855, 146.1054, 13.9028, 160.0082
-0.0792, 125.6009, 38.4585, 164.0593
-0.0692, 95.8826, 69.7931, 165.6757
-0.0560, 62.7172, 101.7695, 164.4867
-0.0402, 32.3411, 128.3320, 160.6731
-0.0227, 10.2693, 144.6075, 154.8767
-0.0042, 0.3472, 147.7019, 148.0491
0.0144, 4.1598, 137.1256, 141.2855
0.0323, 20.8212, 114.8399, 135.6611
0.0485, 47.1376, 84.9342, 132.0718
0.0625, 78.1294, 52.9473, 131.0767
0.0734, 107.8834, 24.8850, 132.7684
0.0808, 130.6448, 6.0664, 136.7112
0.0843, 141.9650, 0.0302, 141.9952
0.0836, 139.6425, 7.7770, 147.4196
0.0788, 124.1964, 27.5666, 151.7630
0.0703, 98.7297, 55.3304, 154.0601
0.0584, 68.2255, 85.5710, 153.7965
0.0439, 38.4833, 112.4927, 150.9760
0.0274, 14.9783, 131.0924, 146.0707
0.0097, 1.8812, 138.0134, 139.8946
-0.0083, 1.3850, 132.0645, 133.4494
-0.0259, 13.3889, 114.3783, 127.7672
-0.0422, 35.5422, 88.2136, 123.7558
-0.0564, 63.6352, 58.4134, 122.0486
-0.0679, 92.3147, 30.5581, 122.8728
-0.0762, 116.0532, 9.9172, 125.9704
